sample_id	date	precision
G4209	2014-07-08	precise
G4213	2014-07-08	precise
G4216	2014-07-09	precise
G4217	2014-07-08	precise
G4220-2	2014-07-11	precise
G4221	2014-07-08	precise
G4225-5	2014-XX-XX	imprecise
G4235	2014-07-08	precise
G4236	2014-07-11	precise
G4238	2014-07-11	precise
G4250	2014-07-11	precise
G4251	2014-07-11	precise
G4252	2014-07-11	precise
G4253	2014-07-11	precise
G4254	2014-07-11	precise
G4255	2014-07-11	precise
G4263	2014-07-11	precise
G4264	2014-07-11	precise
G4286	2014-07-11	precise
G4287	2014-07-12	precise
G4288	2014-07-12	precise
G4295	2014-07-14	precise
G4299	2014-07-14	precise
G4300	2014-07-14	precise
G4301	2014-07-14	precise
G4312	2014-07-14	precise
G4312-2	2014-07-16	precise
G4316	2014-07-14	precise
G4322	2014-07-14	precise
G4323-2	2014-07-16	precise
G4324	2014-07-14	precise
G4325	2014-07-14	precise
G4328	2014-07-14	precise
G4329	2014-07-14	precise
G4330	2014-07-14	precise
G4332	2014-07-14	precise
G4333	2014-07-14	precise
G4334	2014-07-14	precise
G4337	2014-07-14	precise
G4338	2014-07-14	precise
G4342	2014-07-16	precise
G4345	2014-07-16	precise
G4346	2014-07-16	precise
G4347	2014-07-16	precise
G4348	2014-07-16	precise
G4350	2014-07-16	precise
G4368-2	2014-07-17	precise
G4380	2014-07-16	precise
G4382	2014-07-16	precise
G4386-3	2014-XX-XX	imprecise
G4388	2014-XX-XX	imprecise
G4389	2014-07-16	precise
G4406	2014-07-16	precise
G4415	2014-07-16	precise
G4416	2014-07-16	precise
G4419	2014-07-16	precise
G4422	2014-07-16	precise
G4423	2014-07-16	precise
G4424	2014-07-16	precise
G4431	2014-08-18	precise
G4433	2014-07-17	precise
G4437	2014-07-17	precise
G4438	2014-07-17	precise
G4439	2014-07-17	precise
G4440	2014-07-17	precise
G4441	2014-07-17	precise
G4445	2014-07-17	precise
G4450	2014-07-17	precise
G4453	2014-07-17	precise
G4454	2014-07-17	precise
G4455	2014-07-17	precise
G4457	2014-07-17	precise
G4458	2014-07-17	precise
G4465	2014-07-17	precise
G4466	2014-07-17	precise
G4485-2	2014-XX-XX	imprecise
G4495-3	2014-XX-XX	imprecise
G4496-5	2014-XX-XX	imprecise
G4518-3	2014-XX-XX	imprecise
G4527-2	2014-07-16	precise
G4555-2	2014-XX-XX	imprecise
G4561-2	2014-XX-XX	imprecise
G4583-2	2014-XX-XX	imprecise
G4649	2014-XX-XX	imprecise
G4683	2014-XX-XX	imprecise
G4690	2014-XX-XX	imprecise
G4697	2014-XX-XX	imprecise
G4698	2014-XX-XX	imprecise
G4699	2014-XX-XX	imprecise
G4700	2014-XX-XX	imprecise
G4701	2014-XX-XX	imprecise
G4702	2014-XX-XX	imprecise
G4704	2014-XX-XX	imprecise
G4715	2014-XX-XX	imprecise
G4715-3	2014-XX-XX	imprecise
G4717	2014-XX-XX	imprecise
G4718	2014-XX-XX	imprecise
G4719	2014-XX-XX	imprecise
G4724	2014-XX-XX	imprecise
G4725	2014-XX-XX	imprecise
G4726	2014-XX-XX	imprecise
G4727	2014-XX-XX	imprecise
G4730	2014-XX-XX	imprecise
G4731	2014-XX-XX	imprecise
G4733	2014-XX-XX	imprecise
G4736	2014-XX-XX	imprecise
G4744	2014-XX-XX	imprecise
G4748	2014-XX-XX	imprecise
G4748	2014-XX-XX	imprecise
G4750	2014-XX-XX	imprecise
G4751	2014-XX-XX	imprecise
G4753-2	2014-XX-XX	imprecise
G4763-2	2014-XX-XX	imprecise
G4769	2014-XX-XX	imprecise
G4789	2014-XX-XX	imprecise
G4812-2	2014-XX-XX	imprecise
G4818-3	2014-XX-XX	imprecise
G4837	2014-07-16	precise
G4845-3	2014-XX-XX	imprecise
G4849	2014-XX-XX	imprecise
G4849-3	2014-XX-XX	imprecise
G4849-4	2014-XX-XX	imprecise
G4850	2014-XX-XX	imprecise
G4852	2014-XX-XX	imprecise
G4856	2014-XX-XX	imprecise
G4858	2014-XX-XX	imprecise
G4861	2014-XX-XX	imprecise
G4868	2014-XX-XX	imprecise
G4875-2	2014-XX-XX	imprecise
G4875-3	2014-XX-XX	imprecise
G4876-2	2014-XX-XX	imprecise
G4880-2	2014-XX-XX	imprecise
G4886	2014-XX-XX	imprecise
G4896	2014-XX-XX	imprecise
G4907	2014-XX-XX	imprecise
G4909-2	2014-XX-XX	imprecise
G4929	2014-XX-XX	imprecise
G4929-2	2014-XX-XX	imprecise
G4929-2	2014-XX-XX	imprecise
G4931	2014-XX-XX	imprecise
G4937	2014-XX-XX	imprecise
G4942	2014-XX-XX	imprecise
G4946	2014-XX-XX	imprecise
G4946	2014-08-09	precise
G4950-2	2014-XX-XX	imprecise
G4955	2014-XX-XX	imprecise
G4956	2014-XX-XX	imprecise
G4956	2014-08-14	precise
G4956-2	2014-XX-XX	imprecise
G4960	2014-XX-XX	imprecise
G4969	2014-XX-XX	imprecise
G4971	2014-XX-XX	imprecise
G4972	2014-08-14	precise
G4973	2014-08-14	precise
G4979	2014-XX-XX	imprecise
G4979-2	2014-XX-XX	imprecise
G4981	2014-XX-XX	imprecise
G4982	2014-XX-XX	imprecise
G4983	2014-XX-XX	imprecise
G4990-3	2014-XX-XX	imprecise
G4994	2014-XX-XX	imprecise
G4996	2014-XX-XX	imprecise
G4999	2014-XX-XX	imprecise
G5008	2014-XX-XX	imprecise
G5012-2	2014-XX-XX	imprecise
G5012-2	2014-XX-XX	imprecise
G5012-3	2014-XX-XX	imprecise
G5012-3	2014-XX-XX	imprecise
G5013	2014-XX-XX	imprecise
G5016	2014-XX-XX	imprecise
G5019	2014-XX-XX	imprecise
G5020	2014-XX-XX	imprecise
G5021	2014-XX-XX	imprecise
G5021	2014-XX-XX	imprecise
G5021-4	2014-XX-XX	imprecise
G5021-5	2014-XX-XX	imprecise
G5021-7	2014-XX-XX	imprecise
G5039	2014-XX-XX	imprecise
G5044	2014-XX-XX	imprecise
G5045	2014-XX-XX	imprecise
G5045-2	2014-XX-XX	imprecise
G5045-2	2014-XX-XX	imprecise
G5059	2014-XX-XX	imprecise
G5059	2014-08-14	precise
G5064	2014-XX-XX	imprecise
G5064	2014-08-18	precise
G5103	2014-XX-XX	imprecise
G5107	2014-XX-XX	imprecise
G5109	2014-XX-XX	imprecise
G5112	2014-XX-XX	imprecise
G5112-2	2014-XX-XX	imprecise
G5114	2014-XX-XX	imprecise
G5115	2014-XX-XX	imprecise
G5117	2014-XX-XX	imprecise
G5118	2014-XX-XX	imprecise
G5119	2014-XX-XX	imprecise
G5125	2014-XX-XX	imprecise
G5134-5	2014-XX-XX	imprecise
G5178-4	2014-XX-XX	imprecise
G5212	2014-XX-XX	imprecise
G5221	2014-XX-XX	imprecise
G5223	2014-XX-XX	imprecise
G5226-3	2014-XX-XX	imprecise
G5226-4	2014-XX-XX	imprecise
G5231-2	2014-XX-XX	imprecise
G5236-2	2014-XX-XX	imprecise
G5237	2014-08-30	precise
G5238	2014-08-30	precise
G5242	2014-08-30	precise
G5244	2014-08-30	precise
G5261	2014-XX-XX	imprecise
G5265-2	2014-XX-XX	imprecise
G5289	2014-08-30	precise
G5295	2014-08-30	precise
G5296	2014-XX-XX	imprecise
G5296	2014-08-30	precise
G5301-3	2014-XX-XX	imprecise
G5301-4	2014-XX-XX	imprecise
G5304	2014-08-30	precise
G5305	2014-XX-XX	imprecise
G5305	2014-08-30	precise
G5320	2014-XX-XX	imprecise
G5361	2014-XX-XX	imprecise
G5361	2014-08-30	precise
G5364	2014-XX-XX	imprecise
G5364	2014-07-17	precise
G5370	2014-XX-XX	imprecise
G5370	2014-08-30	precise
G5370-2	2014-XX-XX	imprecise
G5371	2014-XX-XX	imprecise
G5371	2014-08-30	precise
G5375	2014-XX-XX	imprecise
G5375	2014-XX-XX	imprecise
G5375	2014-08-30	precise
G5380-3	2014-XX-XX	imprecise
G5382-2	2014-XX-XX	imprecise
G5382-3	2014-XX-XX	imprecise
G5384-2	2014-XX-XX	imprecise
G5384-3	2014-XX-XX	imprecise
G5386-2	2014-XX-XX	imprecise
G5387-2	2014-XX-XX	imprecise
G5387-3	2014-XX-XX	imprecise
G5412-2	2014-XX-XX	imprecise
G5431-2	2014-XX-XX	imprecise
G5434-2	2014-XX-XX	imprecise
G5435-2	2014-XX-XX	imprecise
G5462-2	2014-XX-XX	imprecise
G5466-2	2014-XX-XX	imprecise
G5466-3	2014-XX-XX	imprecise
G5468-2	2014-XX-XX	imprecise
G5468-3	2014-XX-XX	imprecise
G5487-2	2014-XX-XX	imprecise
G5500-2	2014-XX-XX	imprecise
G5502	2014-XX-XX	imprecise
G5502-3	2014-XX-XX	imprecise
G5502-4	2014-XX-XX	imprecise
G5510	2014-XX-XX	imprecise
G5516	2014-XX-XX	imprecise
G5520	2014-XX-XX	imprecise
G5522	2014-XX-XX	imprecise
G5527	2014-XX-XX	imprecise
G5527-2	2014-XX-XX	imprecise
G5528	2014-XX-XX	imprecise
G5529	2014-XX-XX	imprecise
G5532	2014-XX-XX	imprecise
G5533	2014-XX-XX	imprecise
G5565	2014-XX-XX	imprecise
G5566	2014-XX-XX	imprecise
G5568	2014-XX-XX	imprecise
G5568-2	2014-09-22	precise
G5570	2014-XX-XX	imprecise
G5571	2014-XX-XX	imprecise
G5577	2014-XX-XX	imprecise
G5577-2	2014-XX-XX	imprecise
G5579	2014-XX-XX	imprecise
G5584	2014-XX-XX	imprecise
G5585	2014-XX-XX	imprecise
G5585-2	2014-XX-XX	imprecise
G5590	2014-XX-XX	imprecise
G5603	2014-XX-XX	imprecise
G5613	2014-XX-XX	imprecise
G5613-2	2014-XX-XX	imprecise
G5614	2014-XX-XX	imprecise
G5614-2	2014-XX-XX	imprecise
G5614-3	2014-XX-XX	imprecise
G5615	2014-XX-XX	imprecise
G5615-2	2014-XX-XX	imprecise
G5617	2014-XX-XX	imprecise
G5619	2014-XX-XX	imprecise
G5620	2014-XX-XX	imprecise
G5621	2014-XX-XX	imprecise
G5627	2014-XX-XX	imprecise
G5630-2	2014-XX-XX	imprecise
G5631	2014-XX-XX	imprecise
G5634	2014-XX-XX	imprecise
G5638	2014-XX-XX	imprecise
G5639	2014-XX-XX	imprecise
G5640	2014-XX-XX	imprecise
G5643	2014-XX-XX	imprecise
G5644	2014-XX-XX	imprecise
G5647	2014-XX-XX	imprecise
G5649	2014-XX-XX	imprecise
G5650	2014-XX-XX	imprecise
G5659	2014-XX-XX	imprecise
G5661	2014-XX-XX	imprecise
G5675	2014-XX-XX	imprecise
G5684	2014-XX-XX	imprecise
G5684-2	2014-XX-XX	imprecise
G5685	2014-XX-XX	imprecise
G5686	2014-XX-XX	imprecise
G5687	2014-XX-XX	imprecise
G5687-2	2014-XX-XX	imprecise
G5689	2014-XX-XX	imprecise
G5690	2014-XX-XX	imprecise
G5691	2014-XX-XX	imprecise
G5693	2014-XX-XX	imprecise
G5693-2	2014-XX-XX	imprecise
G5699	2014-XX-XX	imprecise
G5699	2014-XX-XX	imprecise
G5700-2	2014-XX-XX	imprecise
G5723	2014-XX-XX	imprecise
G5731	2014-XX-XX	imprecise
G5732	2014-XX-XX	imprecise
G5732-2	2014-XX-XX	imprecise
G5735	2014-XX-XX	imprecise
G5735-2	2014-XX-XX	imprecise
G5735-3	2014-XX-XX	imprecise
G5737	2014-XX-XX	imprecise
G5738	2014-XX-XX	imprecise
G5739-2	2014-XX-XX	imprecise
G5740	2014-XX-XX	imprecise
G5743	2014-XX-XX	imprecise
G5748	2014-XX-XX	imprecise
G5748	2014-XX-XX	imprecise
G5748-2	2014-XX-XX	imprecise
G5749	2014-XX-XX	imprecise
G5749	2014-XX-XX	imprecise
G5749-2	2014-XX-XX	imprecise
G5749-3	2014-XX-XX	imprecise
G5756	2014-XX-XX	imprecise
G5759	2014-XX-XX	imprecise
G5760	2014-XX-XX	imprecise
G5762	2014-XX-XX	imprecise
G5763	2014-XX-XX	imprecise
G5764	2014-XX-XX	imprecise
G5765	2014-XX-XX	imprecise
G5767	2014-XX-XX	imprecise
G5768	2014-XX-XX	imprecise
G5784	2014-XX-XX	imprecise
G5785	2014-XX-XX	imprecise
G5786	2014-XX-XX	imprecise
G5787	2014-XX-XX	imprecise
G5787-2	2014-XX-XX	imprecise
G5788	2014-XX-XX	imprecise
G5790	2014-XX-XX	imprecise
G5796	2014-XX-XX	imprecise
G5796	2014-XX-XX	imprecise
G5796-2	2014-XX-XX	imprecise
G5797	2014-XX-XX	imprecise
G5816	2014-XX-XX	imprecise
G5817	2014-XX-XX	imprecise
G5821	2014-XX-XX	imprecise
G5840	2014-XX-XX	imprecise
G5844	2014-XX-XX	imprecise
G5846	2014-XX-XX	imprecise
G5849	2014-XX-XX	imprecise
G5851	2014-XX-XX	imprecise
G5853	2014-XX-XX	imprecise
G5855	2014-XX-XX	imprecise
G5867-2	2014-XX-XX	imprecise
G5868	2014-XX-XX	imprecise
G5879	2014-XX-XX	imprecise
G5880	2014-XX-XX	imprecise
G5881	2014-XX-XX	imprecise
G5894	2014-XX-XX	imprecise
G5896	2014-XX-XX	imprecise
G5897	2014-XX-XX	imprecise
G5898	2014-XX-XX	imprecise
G5908	2014-XX-XX	imprecise
G5932	2014-XX-XX	imprecise
G5932-3	2014-XX-XX	imprecise
G5935	2014-XX-XX	imprecise
G5948	2014-XX-XX	imprecise
G5950	2014-XX-XX	imprecise
G5956	2014-XX-XX	imprecise
G5977	2014-XX-XX	imprecise
G5980	2014-XX-XX	imprecise
G5981	2014-XX-XX	imprecise
G5982	2014-XX-XX	imprecise
G5983	2014-XX-XX	imprecise
G5985	2014-XX-XX	imprecise
G5986	2014-XX-XX	imprecise
G5988	2014-XX-XX	imprecise
G5992	2014-XX-XX	imprecise
G5996	2014-XX-XX	imprecise
G5997	2014-XX-XX	imprecise
G5998	2014-XX-XX	imprecise
G5999	2014-XX-XX	imprecise
G6001	2014-XX-XX	imprecise
G6002	2014-XX-XX	imprecise
G6012	2014-XX-XX	imprecise
G6013	2014-XX-XX	imprecise
G6014	2014-XX-XX	imprecise
G6020	2014-XX-XX	imprecise
G6050	2014-XX-XX	imprecise
G6060	2014-XX-XX	imprecise
G6062	2014-XX-XX	imprecise
G6063	2014-XX-XX	imprecise
G6068	2014-XX-XX	imprecise
G6069	2014-XX-XX	imprecise
G6089	2014-XX-XX	imprecise
G6091	2014-XX-XX	imprecise
G6094	2014-XX-XX	imprecise
G6095	2014-XX-XX	imprecise
G6103	2014-XX-XX	imprecise
G6104	2014-XX-XX	imprecise
